### Footprint positions - created on 2025-03-28T15:26:02+0700 ###
### Printed by KiCad version 9.0.0
## Unit = mm, Angle = deg.
## Side : top
# Ref     Val                Package                                      PosX       PosY       Rot  Side
C1        C15008             C_1206_3216Metric                        145.9375   -97.0500    0.0000  top
C2        C24497             C_1206_3216Metric                        145.9375   -99.5500    0.0000  top
C3        C15008             C_1206_3216Metric                        145.9125  -102.0500    0.0000  top
D1        C2297              LED_0805_2012Metric                      134.0000   -84.4375  -90.0000  top
D2        C2297              LED_0805_2012Metric                      130.5000   -84.4375  -90.0000  top
D3        C2297              LED_0805_2012Metric                      127.0000   -84.4375  -90.0000  top
D4        C2297              LED_0805_2012Metric                      124.0000   -84.5000  -90.0000  top
D5        C2297              LED_0805_2012Metric                      121.0000   -84.4375  -90.0000  top
D6        C2297              LED_0805_2012Metric                      118.0000   -84.4375  -90.0000  top
D7        C2297              LED_0805_2012Metric                      115.0000   -84.5000  -90.0000  top
D8        C2297              LED_0805_2012Metric                      112.0000   -84.5000  -90.0000  top
D9        C2297              LED_0805_2012Metric                      109.0000   -84.5000  -90.0000  top
D10       C2297              LED_0805_2012Metric                      106.0000   -84.5000  -90.0000  top
D11       C2297              LED_0805_2012Metric                       97.5000  -112.0875    0.0000  top
D12       C2297              LED_0805_2012Metric                      108.0000  -112.0875    0.0000  top
D13       C2297              LED_0805_2012Metric                      133.0625  -112.0000    0.0000  top
D14       C2297              LED_0805_2012Metric                      146.0625  -104.5000  180.0000  top
D15       C2297              LED_0805_2012Metric                      142.5625  -112.0000    0.0000  top
D16       C2297              LED_0805_2012Metric                      146.0000  -106.5500  180.0000  top
D17       C3758192           D_0603_1608Metric                        142.4375   -96.5500   90.0000  top
D18       C3758192           D_0603_1608Metric                        137.0000   -99.5000  180.0000  top
J1        Conn_PIC_ICSP_ICD  PinHeader_1x05_P2.54mm_Vertical          147.1200   -85.0000  -90.0000  top
J2        OLED_Connector     PinHeader_1x04_P2.54mm_Vertical          101.7025   -98.4600    0.0000  top
J4        USB_B_Mini         USB_Mini-B_Tensility_54-00023_Vertical   146.8125   -93.0000   90.0000  top
LS1       Speaker            Buzzer_12x9.5RM7.6                        98.5000   -92.5000   90.0000  top
Q1        C143946            SOT-23                                   139.4375   -96.5500    0.0000  top
R1        C17414             R_0805_2012Metric                         94.5000  -111.5875   90.0000  top
R2        C17540             R_0805_2012Metric                        134.0000   -88.0000   90.0000  top
R3        C17414             R_0805_2012Metric                        105.0000  -111.5000   90.0000  top
R4        C17414             R_0805_2012Metric                        130.0000  -111.0875   90.0000  top
R5        C17414             R_0805_2012Metric                        139.5875  -111.0875   90.0000  top
R6        C17540             R_0805_2012Metric                        130.5000   -88.0000   90.0000  top
R7        C17540             R_0805_2012Metric                        127.0000   -88.0000   90.0000  top
R8        C17540             R_0805_2012Metric                        124.0000   -88.0000   90.0000  top
R9        C17540             R_0805_2012Metric                        121.0000   -88.0000   90.0000  top
R10       C17540             R_0805_2012Metric                        118.0000   -88.0000   90.0000  top
R11       C17540             R_0805_2012Metric                        115.0000   -88.0000   90.0000  top
R12       C17540             R_0805_2012Metric                        112.0000   -88.0000   90.0000  top
R13       C17540             R_0805_2012Metric                        109.0000   -88.0000   90.0000  top
R14       C17540             R_0805_2012Metric                        106.0000   -88.0000   90.0000  top
R15       C17540             R_0805_2012Metric                        100.5000  -111.0875  -90.0000  top
R16       C17540             R_0805_2012Metric                        111.0000  -111.0000  -90.0000  top
R17       C17540             R_0805_2012Metric                        136.0000  -111.0000  -90.0000  top
R18       C17540             R_0805_2012Metric                        141.9375  -103.5500    0.0000  top
R19       C17540             R_0805_2012Metric                        145.5000  -111.0000  -90.0000  top
R20       C17540             R_0805_2012Metric                        141.9375  -105.5500    0.0000  top
R21       C17414             R_0805_2012Metric                        139.8500   -93.5500  180.0000  top
SW1       SW_Push            SW_PUSH_6mm_H5mm                          94.7500  -115.0875    0.0000  top
SW2       SW_Push            SW_PUSH_6mm_H5mm                         104.7500  -115.0875    0.0000  top
SW3       SW_Push            SW_PUSH_6mm_H5mm                         129.7500  -114.7500    0.0000  top
SW4       SW_Push            SW_PUSH_6mm_H5mm                         139.7500  -114.7500    0.0000  top
SW5       SW_SPDT            SW_Slide_SPDT_Straight_CK_OS102011MS2Q    96.5000  -104.0000   90.0000  top
U1        PIC18F27Q43-I/STX  VQFN28_STX_MCH                           123.3923  -101.8923  -90.0000  top
U2        C51118             SOT-23-5                                 141.3000  -100.5000    0.0000  top
## End
